activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,max_squared
RBS,0,2,AD,H,9.54,9.37,9.44075999999998,0.0178790862027928,9.44,9.54,0.1699999999999999,0.0858599999999999,0.0126424230954136,754.6021777629686,1.0105118655701466,0.0090946067901313,1.010511865559443,91.01159999999999
RBS,0,2,AD,H,9.48,9.37,9.441239999999976,0.0150104305751736,9.44,9.48,0.1100000000000012,0.08532,0.0106139772482351,893.1618919360569,1.0041053929356762,0.009036948536421,1.004105392925041,89.8704
RBS,0,2,AD,H,9.51,9.33,9.44045999999998,0.0171982545602698,9.44,9.51,0.1799999999999997,0.0855899999999999,0.0121610024241393,782.007902664576,1.007366166479178,0.0090662954983126,1.0073661664685074,90.4401
RBS,0,2,AD,H,9.55,9.3,9.439219999999976,0.0192544297794628,9.44,9.55,0.25,0.08595,0.0136149378649384,701.4354450043761,1.0117361392148954,0.009105625252934,1.011736139204177,91.20250000000001
RBS,0,2,AD,H,9.51,9.39,9.44001999999998,0.0163687345553004,9.44,9.51,0.1199999999999992,0.0855899999999999,0.0115744432034955,821.6377956848892,1.00741311988746,0.0090667180789871,1.0074131198767882,90.4401
RBS,0,2,AD,H,9.51,9.38,9.439539999999978,0.0164233935504032,9.44,9.51,0.129999999999999,0.0855899999999999,0.0116130929495855,818.9032879771638,1.0074643467796125,0.0090671791210165,1.0074643467689397,90.4401
RBS,0,3,AD,H,9.48,9.39,9.438599999999976,0.0149159300729079,9.44,9.48,0.0899999999999998,0.08532,0.0105471553022575,898.8205566643013,1.0043862437225886,0.0090394761935032,1.0043862437119473,89.8704
RBS,0,3,AD,H,9.49,9.4,9.440579999999985,0.014418022011269,9.44,9.49,0.0899999999999998,0.08541,0.0101950811354652,930.8410471582696,1.0052348478589257,0.0090471136307303,1.0052348478482778,90.0601
RBS,0,3,AD,H,9.48,9.4,9.439659999999986,0.0135073794126468,9.44,9.48,0.08,0.08532,0.0095511595787421,992.5496398468152,1.0042734590017028,0.0090384611310153,1.004273458991064,89.8704
RBS,0,3,AD,H,9.48,9.4,9.439579999999976,0.0137404949839811,9.44,9.48,0.08,0.08532,0.0097159971800328,975.7104519834744,1.0042819701724044,0.0090385377315516,1.0042819701617651,89.8704
RBS,0,3,AD,H,9.49,9.4,9.438779999999984,0.0145166478958561,9.44,9.49,0.0899999999999998,0.08541,0.0102648201672573,924.5169272688428,1.0054265487700758,0.0090488389389306,1.0054265487594236,90.0601
RBS,0,3,AD,H,9.48,9.4,9.439759999999984,0.0141684116179462,9.44,9.48,0.08,0.08532,0.010018579933692,946.2418888448613,1.0042628202411945,0.0090383653821707,1.0042628202305557,89.8704
RBS,0,3,AD,H,9.48,9.4,9.440859999999974,0.0143900850969756,9.44,9.48,0.08,0.08532,0.0101753267539229,931.6654127441308,1.0041458087504769,0.0090373122787542,1.0041458087398407,89.8704
RBS,0,3,AD,H,9.48,9.4,9.43975999999998,0.0144623898938899,9.44,9.48,0.08,0.08532,0.0102264539661333,927.0075464471485,1.0042628202411947,0.0090383653821707,1.004262820230556,89.8704
RBS,0,3,AD,H,9.48,9.4,9.439479999999982,0.0137297710551361,9.44,9.48,0.08,0.08532,0.0097084142172255,976.472551323542,1.004292609338652,0.0090386334840478,1.004292609328013,89.8704
RBS,0,3,AD,H,9.48,9.4,9.439559999999968,0.0143603216424755,9.44,9.48,0.08,0.08532,0.0101542808134144,933.596398818944,1.0042840979876215,0.0090385568818885,1.0042840979769825,89.8704
RBS,0,3,AD,H,9.48,9.4,9.43899999999998,0.0140211692227412,9.44,9.48,0.08,0.08532,0.0099144638375644,956.1787863990852,1.0043436804746289,0.0090390931242716,1.0043436804639885,89.8704
RBS,0,3,AD,H,9.48,9.39,9.440099999999982,0.0153838657902787,9.44,9.48,0.0899999999999998,0.08532,0.0108780358211698,871.4808588468567,1.00422665014142,0.0090380398512727,1.0042266501307822,89.8704
RBS,0,3,AD,H,9.48,9.4,9.439919999999976,0.0143389263761008,9.44,9.48,0.08,0.08532,0.0101391520754755,934.9894280538596,1.0042457986932118,0.0090382121882389,1.0042457986825737,89.8704
RBS,0,3,AD,H,9.51,9.4,9.43885999999997,0.0144540041674598,9.44,9.51,0.1099999999999994,0.0855899999999999,0.0102205243621095,930.4806351478766,1.007536927128915,0.0090678323441602,1.0075369271182406,90.4401
RBS,0,3,AD,H,9.48,9.4,9.439059999999971,0.0135233932253949,9.44,9.48,0.08,0.08532,0.0095624830543289,991.3743058303623,1.004337296298575,0.0090390356666871,1.0043372962879349,89.8704
K,0,3,AW,H,9.52,9.38,9.453419999999973,0.0164512883926934,9.45,9.52,0.1399999999999988,0.0856799999999999,0.011632817581729,818.3743906508481,1.0070429537669994,0.0090633865839029,1.0070429537563466,90.6304
K,0,3,AW,H,9.49,9.41,9.45341999999997,0.0145646096999347,9.45,9.49,0.08,0.08541,0.0102987342841592,921.472458474514,1.0038694990807593,0.0090348254917268,1.0038694990701402,90.0601
K,0,3,AW,H,9.51,9.39,9.45381999999997,0.0165697529681907,9.45,9.51,0.1199999999999992,0.0855899999999999,0.0117165846863935,811.6699750434892,1.0059425713626904,0.0090534831422642,1.0059425713520498,90.4401
K,0,3,AW,H,9.49,9.37,9.452379999999964,0.0145519455137958,9.45,9.49,0.120000000000001,0.08541,0.0102897793522622,922.2743923963352,1.0039799500231723,0.0090358195502085,1.003979950012551,90.0601
K,0,3,AW,H,9.5,9.39,9.452819999999967,0.0154636946330241,9.45,9.5,0.1099999999999994,0.0854999999999999,0.0109344833372093,868.8110546267962,1.0049911031840268,0.0090449199286562,1.0049911031733951,90.25
K,0,3,AW,H,9.5,9.39,9.45255999999996,0.0146791469339819,9.45,9.5,0.1099999999999994,0.0854999999999999,0.0103797243390523,915.2458860836532,1.005018746244408,0.0090451687161996,1.0050187462337756,90.25
K,0,3,AW,H,9.52,9.35,9.45333999999998,0.0171005631052619,9.45,9.52,0.1699999999999999,0.0856799999999999,0.0120919241338391,787.3023262987837,1.0070514759862672,0.0090634632838764,1.0070514759756142,90.6304
K,0,3,AW,H,9.49,9.41,9.45237999999997,0.0144413540019914,9.45,9.49,0.08,0.08541,0.0102115793443236,929.3371456076748,1.003979950023172,0.0090358195502085,1.0039799500125506,90.0601
K,0,3,AW,H,9.5,9.39,9.451979999999974,0.0160622411631246,9.45,9.5,0.1099999999999994,0.0854999999999999,0.0113577196474991,836.4355077290382,1.0050804170131578,0.0090457237531184,1.005080417002524,90.25
K,0,3,AW,H,9.51,9.41,9.452699999999972,0.0156524758424988,9.45,9.51,0.0999999999999996,0.0855899999999999,0.0110679718105895,859.236015662874,1.0060617601320287,0.0090545558411882,1.0060617601213857,90.4401
K,0,3,AW,H,9.5,9.38,9.451539999999971,0.0158976057233623,9.45,9.5,0.1199999999999992,0.0854999999999999,0.0112413048116195,845.0976251600562,1.0051272067832362,0.0090461448610491,1.0051272067726018,90.25
K,0,3,AW,H,9.5,9.42,9.45325999999997,0.0136655000561113,9.45,9.5,0.08,0.0854999999999999,0.0096629677579814,983.1348130239952,1.004944326084338,0.009044498934759,1.0049443260737074,90.25
K,0,3,AW,H,9.5,9.4,9.451499999999967,0.0160269687544126,9.45,9.5,0.0999999999999996,0.0854999999999999,0.0113327782881101,838.2763483484888,1.0051314606147208,0.0090461831455324,1.005131460604086,90.25
K,0,3,AW,H,9.57,9.4,9.452839999999972,0.0154015849066023,9.45,9.57,0.1699999999999999,0.08613,0.0108905651284789,878.7422771086854,1.012394158792493,0.0091115474291324,1.012394158781783,91.5849
K,0,3,AW,H,9.51,9.4,9.451139999999976,0.0150383744271391,9.45,9.51,0.1099999999999994,0.0855899999999999,0.0106337365354524,894.3234551932012,1.0062278201359862,0.0090560503812238,1.0062278201253396,90.4401
K,0,3,AW,H,9.49,9.41,9.452679999999962,0.0140432198604204,9.45,9.49,0.08,0.08541,0.0099300559929969,955.6844399158216,1.0039480866801838,0.0090355327801216,1.003948086669563,90.0601
K,0,3,AW,H,9.51,9.41,9.452279999999968,0.0149414890888557,9.45,9.51,0.0999999999999996,0.0855899999999999,0.0105652282557547,900.1225311739045,1.0061064632025325,0.0090549581688227,1.006106463191888,90.4401
K,0,3,AW,H,9.5,9.41,9.452179999999965,0.0140799179037508,9.45,9.5,0.0899999999999998,0.0854999999999999,0.0099560054282921,954.1979530267956,1.005059150375896,0.009045532353383,1.005059150365263,90.25
K,0,3,AW,H,9.49,9.41,9.45249999999996,0.0162257989974677,9.45,9.49,0.08,0.08541,0.0114733725012793,827.1325627178791,1.0039672044432733,0.0090357048399894,1.0039672044326522,90.0601
K,0,3,AW,H,9.49,9.4,9.452759999999968,0.0151803585785434,9.45,9.49,0.0899999999999998,0.08541,0.0107341344917314,884.0954999501993,1.0039395901302934,0.0090354563111726,1.0039395901196728,90.0601
K,0,2,AW,H,9.73,9.17,9.452699999999972,0.0292132989179131,9.45,9.73,0.5600000000000005,0.08757,0.020656921765686,471.0285545140064,1.0293355337628434,0.0092640198038655,1.029335533751954,94.67290000000001
K,0,2,AW,H,9.53,9.41,9.451759999999966,0.0151049236156585,9.45,9.53,0.1199999999999992,0.0857699999999999,0.010680793917937,892.2557698632875,1.0082778233895098,0.0090745004105055,1.008277823378842,90.8209
K,0,2,AW,H,9.94,9.22,9.452419999999982,0.0337672037352251,9.45,9.94,0.7199999999999989,0.0894599999999999,0.0238770187428854,416.29987843276314,1.051582557694222,0.0094642430192479,1.051582557683097,98.80359999999999
K,0,2,AW,H,9.55,9.37,9.452499999999974,0.0176684563190281,9.45,9.55,0.1800000000000015,0.08595,0.0124934852762831,764.3983875443578,1.0103147315525025,0.0090928325839725,1.010314731541814,91.20250000000001
K,0,2,AW,H,9.84,9.19,9.453819999999975,0.0294234443625542,9.45,9.84,0.6500000000000004,0.0885599999999999,0.0208055170346271,472.9514764580479,1.0408490959210164,0.0093676418632891,1.0408490959100063,96.8256
K,0,2,AW,H,9.57,9.3,9.453699999999976,0.019006116513635,9.45,9.57,0.2699999999999996,0.08613,0.0134393538708129,712.0878051126942,1.0123020616266671,0.00911071855464,1.0123020616159593,91.5849
K,0,2,AW,H,9.82,9.19,9.453819999999968,0.0309114644957912,9.45,9.82,0.6300000000000008,0.08838,0.0218577061613811,449.2694671387917,1.0387335489780885,0.0093486019408027,1.038733548967101,96.4324
K,0,2,AW,H,9.67,9.29,9.453559999999976,0.0237245042984764,9.45,9.67,0.3800000000000008,0.08703,0.0167757578697421,576.4270130198684,1.0228950786793571,0.0092060557081142,1.022895078668537,93.5089
K,0,2,AW,H,9.59,9.33,9.453619999999963,0.0221104804717898,9.45,9.59,0.2599999999999998,0.08631,0.0156344706768953,613.388211100242,1.0144262197972878,0.0091298359781755,1.0144262197865572,91.96809999999999
K,0,2,AW,H,9.56,9.37,9.452819999999964,0.0175859640698069,9.45,9.56,0.1900000000000012,0.0860399999999999,0.0124351544474634,768.7881996471749,1.0113384154146632,0.0091020457387319,1.0113384154039644,91.3936
