activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin
RBS,0,2,AD,H,655.0,-864.0,-2.148,98.39203260508607,-1.0,864.0,1519.0,7.776,69.57367346978424,12.418490456382674,-402.23463687150837,-3.620111731843575,-402.23463689023436
RBS,0,2,AD,H,1089.0,-1060.0,-0.504,100.01674200533992,0.0,1089.0,2149.0,9.800999999999998,70.72251650416126,15.398207725483354,-2160.714285714286,-19.44642857142857,-2160.714286142999
RBS,0,2,AD,H,24.0,-45.0,-0.492,5.2387809317915375,-1.0,45.0,69.0,0.40499999999999997,3.704377522020576,12.147789941089608,-91.46341463414635,-0.823170731707317,-91.46341465273647
RBS,0,2,AD,H,67.0,-110.0,-0.034,12.05335682793981,0.0,110.0,177.0,0.9899999999999999,8.523010349097413,12.906237995082218,-3235.2941176470586,-29.117647058823525,-3235.2941271626296
RBS,0,2,AD,H,443.0,-584.0,-0.13,55.3102118878436,-1.0,584.0,1027.0,5.255999999999999,39.110225894759004,14.93215614687256,-4492.307692307692,-40.43076923076922,-4492.307695763314
RBS,0,2,AD,H,405.0,-407.0,0.286,46.4763629022026,-1.0,407.0,812.0,3.663,32.86375137303435,12.384465649711409,1423.076923076923,12.807692307692308,1423.0769225793438
RBS,0,2,AD,H,159.0,-182.0,-0.432,26.305842901178494,0.0,182.0,341.0,1.638,18.601039900251315,9.78439920434454,-421.2962962962963,-3.7916666666666665,-421.2962963938186
RBS,0,2,AD,H,918.0,-748.0,-0.464,70.74913132446456,-1.0,918.0,1666.0,8.261999999999999,50.02719052258647,18.350021066754444,-1978.4482758620688,-17.806034482758616,-1978.4482762884586
RBS,0,2,AD,H,89.0,-77.0,-0.476,19.904416484569005,0.0,89.0,166.0,0.8009999999999999,14.074547871800045,6.323471333549663,-186.9747899159664,-1.6827731092436975,-186.97478995524682
RBS,0,2,AD,H,27.0,-27.0,-0.542,7.259037349848325,-0.5,27.0,54.0,0.243,5.132914534964175,5.260169405915979,-49.81549815498155,-0.4483394833948339,-49.815498164172595
RBS,0,2,AD,H,817.0,-1762.0,-3.378,173.60000298985065,1.0,1762.0,2579.0,15.857999999999999,122.75373932812832,14.353941555214586,-521.6104203670811,-4.69449378330373,-521.6104203825225
RBS,0,2,AD,H,514.0,-740.0,0.7,93.46096459917165,-1.0,740.0,1254.0,6.659999999999999,66.08688184431013,11.197381073952299,1057.142857142857,9.514285714285714,1057.1428569918369
RBS,0,2,AD,H,1614.0,-1233.0,-0.912,164.57122358195713,1.0,1614.0,2847.0,14.525999999999998,116.36942818296934,13.869622161091007,-1769.7368421052631,-15.927631578947366,-1769.7368422993131
RBS,0,2,AD,H,825.0,-1182.0,-0.646,140.91885939741258,0.5,1182.0,2007.0,10.638,99.64468107698406,11.862148458148043,-1829.7213622291022,-16.46749226006192,-1829.7213625123406
RBS,0,2,AD,H,1403.0,-1486.0,-3.116,143.2936869000544,1.0,1486.0,2889.0,13.373999999999999,101.32393770825041,14.665833500063439,-476.8934531450578,-4.29204107830552,-476.8934531603624
RBS,0,2,AD,H,1660.0,-1049.0,0.568,183.37263815752257,2.0,1660.0,2709.0,14.94,129.66403592525126,12.8023162949899,2922.535211267606,26.302816901408452,2922.535210753075
RBS,0,2,AD,H,846.0,-1550.0,0.41,135.77227301713882,0.0,1550.0,2396.0,13.95,96.00549494753017,16.144909214281128,3780.487804878049,34.02439024390244,3780.4878039559785
RBS,0,2,AD,H,899.0,-1162.0,-0.282,116.68256132015814,-1.0,1162.0,2061.0,10.457999999999998,82.50703035569897,14.083648326578484,-4120.567375886525,-37.08510638297872,-4120.567377347719
RBS,0,2,AD,H,1907.0,-1804.0,0.962,211.2535838972178,1.0,1907.0,3711.0,17.163,149.37884172368393,12.76619886722315,1982.3284823284823,17.840956340956343,1982.328482122419
RBS,0,2,AD,H,717.0,-708.0,-1.232,102.86272237944426,0.0,717.0,1425.0,6.452999999999999,72.73492852581427,9.857712305931948,-581.9805194805194,-5.237824675324675,-581.9805195277581
RBS,0,2,AD,H,941.0,-1067.0,-0.668,118.05931466665017,-1.0,1067.0,2008.0,9.603,83.48054198302475,12.781421570274038,-1597.3053892215569,-14.37574850299401,-1597.3053894606744
RBS,0,2,AD,H,777.0,-671.0,0.806,93.7306098264429,0.0,777.0,1448.0,6.992999999999999,66.27754981302822,11.723426743926865,964.0198511166252,8.676178660049626,964.0198509970198
RBS,0,2,AD,H,893.0,-656.0,1.336,128.60160126411876,2.0,893.0,1549.0,8.036999999999999,90.93506432530685,9.820194296068495,668.4131736526946,6.01571856287425,668.4131736026636
RBS,0,2,AD,H,1520.0,-1535.0,-0.94,178.9284078906997,0.5,1535.0,3055.0,13.815,126.52149056642631,12.132326240608858,-1632.9787234042553,-14.696808510638299,-1632.9787235779766
RBS,0,2,AD,H,804.0,-1810.0,-0.738,150.24128008134434,0.0,1810.0,2614.0,16.29,106.23662795966595,17.037438355885964,-2452.5745257452577,-22.073170731707314,-2452.574526077585
