activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin
K,0,3,AW,H,0.0700000000000002,-0.0499999999999989,0.013827655310621788,0.01658549581408507,0.0099999999999997,0.0700000000000002,0.11999999999999911,0.0006300000000000018,0.01172771655948065,5.9687663531919535,5.0623188405795245,0.04556086956521572,5.062318803969422
K,0,3,AW,H,0.0500000000000007,-0.0700000000000002,0.012384769539078579,0.014566157360746745,0.0099999999999997,0.0700000000000002,0.1200000000000009,0.0006300000000000018,0.010299828645614366,6.796229569295405,5.6521035598703735,0.05086893203883336,5.652103514232839
K,0,3,AW,H,0.0600000000000005,-0.0499999999999989,0.012825651302605684,0.015478695791969867,0.0099999999999997,0.0600000000000005,0.1099999999999994,0.0005400000000000045,0.01094509075842557,5.481909773458232,4.678124999999866,0.04210312499999879,4.678124963525111
K,0,3,AW,H,0.0600000000000005,-0.0499999999999989,0.012565130260521473,0.014693428937755555,0.0099999999999997,0.0600000000000005,0.1099999999999994,0.0005400000000000045,0.010389823240769602,5.774881690437319,4.775119617224756,0.0429760765550228,4.775119579221811
K,0,3,AW,H,0.08,-0.0899999999999998,0.013326653306613728,0.017115116707217076,0.0099999999999997,0.0899999999999998,0.16999999999999982,0.0008099999999999981,0.012102215084472368,7.436655138898783,6.753383458646347,0.06078045112781712,6.753383407970583
K,0,3,AW,H,0.0500000000000007,-0.0299999999999993,0.012384769539078645,0.014455451872992924,0.0099999999999997,0.0500000000000007,0.08,0.0004500000000000062,0.010221548044509076,4.891626961227292,4.037216828478861,0.03633495145630975,4.037216795880623
K,0,3,AW,H,0.0600000000000005,-0.0499999999999989,0.0119639278557119,0.016074334771810625,0.0099999999999997,0.0600000000000005,0.1099999999999994,0.0005400000000000045,0.011366271120210008,5.2787760704842235,5.015075376884264,0.045135678391958374,5.015075334965963
K,0,3,AW,H,0.0700000000000002,-0.0299999999999993,0.012605210420842158,0.01552386596708689,0.0099999999999997,0.0700000000000002,0.0999999999999995,0.0006300000000000018,0.010977030895558201,6.376952079849328,5.553259141494243,0.049979332273448175,5.553259097438976
K,0,3,AW,H,0.0600000000000005,-0.0599999999999987,0.011543086172345163,0.01591340924092875,0.0099999999999997,0.0600000000000005,0.11999999999999919,0.0005400000000000045,0.011252479586057388,5.332158084902879,5.197916666666496,0.04678124999999846,5.197916621635934
K,0,3,AW,H,0.0600000000000005,-0.0199999999999995,0.013286573146293064,0.013666276322181845,0.0099999999999997,0.0600000000000005,0.08,0.0005400000000000045,0.009663516660983933,6.208919806828515,4.515837104072273,0.04064253393665045,4.515837070084299
K,0,3,AW,H,0.0600000000000005,-0.0399999999999991,0.011523046092184831,0.01603475673761307,0.0099999999999997,0.0600000000000005,0.09999999999999959,0.0005400000000000045,0.011338285223842882,5.291805490465931,5.206956521738965,0.046862608695650676,5.206956476551638
K,0,3,AW,H,0.1300000000000007,-0.0399999999999991,0.012865731462926331,0.0154062786455021,0.0099999999999997,0.1300000000000007,0.1699999999999998,0.001170000000000006,0.010893884103084032,11.933301177969941,10.10436137071619,0.09093925233644569,10.104361292179176
K,0,3,AW,H,0.0700000000000002,-0.0399999999999991,0.01114228456913866,0.015053378771589968,0.0099999999999997,0.0700000000000002,0.10999999999999929,0.0006300000000000018,0.010644346209160887,6.576261108432927,6.282374100719226,0.05654136690647303,6.282374044336049
K,0,3,AW,H,0.0500000000000007,-0.0299999999999993,0.012725450901804061,0.014020451697800132,0.0099999999999997,0.0500000000000007,0.08,0.0004500000000000062,0.009913956470812916,5.043395151794614,3.929133858267631,0.03536220472440867,3.929133827391446
K,0,3,AW,H,0.0700000000000002,-0.0299999999999993,0.012284569138277038,0.014956133392993525,0.0099999999999997,0.0700000000000002,0.0999999999999995,0.0006300000000000018,0.010575583342516287,6.619020221663238,5.698205546492451,0.05128384991843205,5.698205500107385
K,0,3,AW,H,0.0600000000000005,-0.0299999999999993,0.012164328657315074,0.014089681565125505,0.0099999999999997,0.0600000000000005,0.0899999999999998,0.0005400000000000045,0.009962909379459333,6.022337222468702,4.932454695222265,0.04439209225700039,4.932454654673751
K,0,3,AW,H,0.0500000000000007,-0.0299999999999993,0.01250501002004057,0.016241694663182142,0.0099999999999997,0.0500000000000007,0.08,0.0004500000000000062,0.01148461243429745,4.353651486808693,3.998397435897335,0.03598557692307601,3.9983974039229713
K,0,3,AW,H,0.0500000000000007,-0.0399999999999991,0.01278557114228507,0.015184809051422821,0.0099999999999997,0.0500000000000007,0.0899999999999998,0.0004500000000000062,0.010737281451283942,4.656672196482453,3.910658307209933,0.03519592476488939,3.9106582766234363
K,0,2,AW,H,0.2900000000000009,-0.2699999999999996,0.012705410821643767,0.02924236403231391,0.0099999999999997,0.2900000000000009,0.5600000000000005,0.002610000000000008,0.020677473905174756,14.024923998449605,22.824921135645898,0.20542429022081307,22.82492095599865
K,0,2,AW,H,0.0899999999999998,-0.0299999999999993,0.011763527054108656,0.015119875493021661,0.0099999999999997,0.0899999999999998,0.11999999999999911,0.0008099999999999981,0.01069136649181191,8.418007190093727,7.6507666098804465,0.06885689948892401,7.650766544842415
K,0,2,AW,H,0.5,-0.2199999999999988,0.012444889779559591,0.03379649807400389,0.0099999999999997,0.5,0.7199999999999989,0.0045,0.02389773296848624,20.92248669191116,40.177133655393,0.36159420289853694,40.177133332552586
K,0,2,AW,H,0.1100000000000012,-0.0700000000000002,0.012505010020040563,0.017685831319668915,0.0099999999999997,0.1100000000000012,0.18000000000000138,0.0009900000000000106,0.012505771257059315,8.795938910037867,8.796474358974114,0.07916826923076702,8.796474288630515
K,0,2,AW,H,0.4000000000000003,-0.25,0.013767535070140818,0.029429550828788068,0.0099999999999997,0.4000000000000003,0.6500000000000004,0.0036000000000000025,0.020809834958310222,19.22168055639787,29.053857350799472,0.2614847161571952,29.053857139767818
K,0,2,AW,H,0.1300000000000007,-0.1399999999999988,0.013727454909820169,0.019015261988451257,0.0099999999999997,0.1399999999999988,0.26999999999999946,0.001259999999999989,0.013445820698072677,10.41215728989056,10.19854014598492,0.09178686131386427,10.198540071691905
K,0,2,AW,H,0.3800000000000008,-0.25,0.01384769539078211,0.030936274209206218,0.0099999999999997,0.3800000000000008,0.6300000000000008,0.003420000000000007,0.021875249277976214,17.37123061644747,27.44138929088175,0.24697250361793574,27.441389092716005
