activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,PC1,PC2,PC3,PC4,PC5
RBS,0,2,AD,H,817.0,-1762.0,-3.378,173.60000298985065,1.0,1762.0,2579.0,15.858,122.75373932812832,14.353941555214586,-521.6104203670811,-4.69449378330373,-521.6104203825225,538.7390548274832,-4891.338320648811,-668.0920036292474,87.11044472915302,50.69719018940475
RBS,0,2,AD,H,514.0,-740.0,0.7,93.46096459917165,-1.0,740.0,1254.0,6.659999999999999,66.08688184431013,11.1973810739523,1057.142857142857,9.514285714285714,1057.1428569918369,2753.606726737298,-6818.05719463,-144.59995731304008,-109.07420780604195,21.69296559677735
RBS,0,2,AD,H,1614.0,-1233.0,-0.912,164.57122358195713,1.0,1614.0,2847.0,14.525999999999998,116.36942818296934,13.869622161091009,-1769.7368421052631,-15.927631578947366,-1769.7368422993131,-1223.2831891035564,-4639.817032900598,284.7913839799902,-129.40383458726456,8.002392571563895
RBS,0,2,AD,H,825.0,-1182.0,-0.646,140.91885939741258,0.5,1182.0,2007.0,10.638,99.64468107698406,11.862148458148043,-1829.7213622291024,-16.46749226006192,-1829.7213625123409,-1319.2234919337081,-5755.050013560761,-236.1365457053668,-111.09566000818377,35.28325328408236
RBS,0,2,AD,H,1403.0,-1486.0,-3.116,143.2936869000544,1.0,1486.0,2889.0,13.374,101.3239377082504,14.66583350006344,-476.8934531450578,-4.29204107830552,-476.8934531603624,604.660254233845,-4667.578007712538,-36.35638752325739,-285.21524612067276,-20.69891034822945
RBS,0,2,AD,H,1660.0,-1049.0,0.568,183.37263815752257,2.0,1660.0,2709.0,14.94,129.66403592525126,12.8023162949899,2922.535211267606,26.302816901408452,2922.535210753075,5411.292745467676,-4834.719932277936,435.41473762361477,-7.334776952961434,41.28326455254116
RBS,0,2,AD,H,846.0,-1550.0,0.41,135.77227301713882,0.0,1550.0,2396.0,13.95,96.00549494753017,16.144909214281128,3780.487804878049,34.02439024390244,3780.4878039559785,6620.003041035463,-5244.189575176035,-497.1461947093421,3.562191553228928,12.06357986801201
RBS,0,2,AD,H,899.0,-1162.0,-0.282,116.68256132015814,-1.0,1162.0,2061.0,10.457999999999998,82.50703035569897,14.083648326578484,-4120.567375886525,-37.08510638297872,-4120.567377347719,-4558.346110184522,-5674.096036626666,-164.79794920173345,-151.93484102426004,0.2884093849583884
RBS,0,2,AD,H,1907.0,-1804.0,0.962,211.2535838972178,1.0,1907.0,3711.0,17.163,149.37884172368393,12.76619886722315,1982.3284823284823,17.840956340956343,1982.328482122419,4092.9909210878977,-3607.9173420625702,92.85935876500355,-329.9082343407173,11.227987235958445
RBS,0,2,AD,H,717.0,-708.0,-1.232,102.86272237944426,0.0,717.0,1425.0,6.452999999999999,72.73492852581427,9.857712305931948,-581.9805194805194,-5.237824675324675,-581.9805195277581,437.4625087209447,-6615.803819750139,29.397717947677712,-209.50628158455243,18.47379866721341
RBS,0,2,AD,H,941.0,-1067.0,-0.668,118.05931466665017,-1.0,1067.0,2008.0,9.603,83.48054198302475,12.781421570274038,-1597.3053892215569,-14.37574850299401,-1597.3053894606744,-990.8686465428439,-5807.160718087165,-67.36273952892265,-204.2872329629294,3.2093604711786305
RBS,0,2,AD,H,777.0,-671.0,0.806,93.7306098264429,0.0,777.0,1448.0,6.992999999999999,66.27754981302822,11.723426743926863,964.0198511166252,8.676178660049626,964.0198509970198,2624.3233354211775,-6585.925201257699,93.23662835683152,-162.7842038258044,6.562585838326118
RBS,0,2,AD,H,893.0,-656.0,1.336,128.60160126411876,2.0,893.0,1549.0,8.036999999999999,90.93506432530684,9.820194296068497,668.4131736526946,6.01571856287425,668.4131736026636,2207.917057969689,-6418.518746159112,183.0126784415914,-107.19528397760857,43.56119499877119
RBS,0,2,AD,H,1520.0,-1535.0,-0.94,178.9284078906997,0.5,1535.0,3055.0,13.815,126.52149056642632,12.132326240608858,-1632.978723404255,-14.6968085106383,-1632.9787235779766,-1028.2360088727044,-4445.425169331076,15.494212655706377,-326.63262897713133,11.278278054402264
RBS,0,2,AD,H,804.0,-1810.0,-0.738,150.24128008134434,0.0,1810.0,2614.0,16.29,106.23662795966597,17.037438355885964,-2452.5745257452577,-22.07317073170731,-2452.574526077585,-2191.467421920306,-4807.357752646609,-710.8287097125439,110.88740610704903,20.730815218099643
RBS,0,2,AD,H,883.0,-885.0,-0.402,115.30253138369068,0.0,885.0,1768.0,7.964999999999999,81.53120182938238,10.854740027652356,-2201.492537313433,-19.81343283582089,-2201.492537861068,-1848.5013827571859,-6142.159005336429,24.119478590461085,-237.9185663174486,12.316786604174649
RBS,0,2,AD,H,532.0,-1175.0,-1.302,109.14151610214212,0.0,1175.0,1707.0,10.575,77.17470614480546,15.225195646295155,-902.457757296467,-8.122119815668201,-902.45775736578,-11.303447358486665,-6104.423386597995,-447.5731395094569,28.60818878633455,20.072327884745256
RBS,0,2,AD,H,1030.0,-1291.0,-0.896,162.06137405910098,0.0,1291.0,2321.0,11.619,114.59469656559996,11.265791862025347,-1440.8482142857142,-12.967633928571429,-1440.8482144465231,-765.4523436638801,-5365.222285899608,-165.74000625979983,-173.57424678526428,40.18803222214465
RBS,0,2,AD,H,987.0,-831.0,-0.486,119.92292867355803,0.0,987.0,1818.0,8.883,84.79831608482354,11.63938207231269,-2030.864197530864,-18.277777777777775,-2030.8641979487377,-1606.1612017212612,-6045.016340311058,131.29713869724503,-165.55852624896588,15.607474093640697
RBS,0,2,AD,H,1967.0,-2929.0,-1.316,210.59149484107567,1.0,2929.0,4896.0,26.360999999999997,148.91067406233643,19.669510049856285,-2225.6838905775076,-20.03115501519757,-2225.6838907466326,-1841.8418879997178,-1805.3629489604764,-676.783968672441,-70.9054608155507,-46.54900630772296
RBS,0,2,AD,H,2193.0,-2705.0,2.342,253.5513786972545,1.5,2705.0,4898.0,24.345,179.28789925602698,15.08746553015941,1154.995730145175,10.394961571306574,1154.9957300958583,2938.444491423679,-1941.667804526639,-350.2200750992797,-257.32004366083356,-1.5975923496299167
RBS,0,2,AD,H,2081.0,-1586.0,-0.712,155.470625156565,1.0,2081.0,3667.0,18.729,109.93433332351896,18.92948214709188,-2922.752808988764,-26.304775280898877,-2922.7528093992632,-2843.205837876405,-3518.1237547387855,363.7915178986263,-130.31627380508792,-53.227065703615125
RBS,0,2,AD,H,1118.0,-685.0,2.0,130.8523621543101,2.0,1118.0,1803.0,10.062,92.52659261359062,12.083012768761405,559.0,5.031,558.99999997205,2056.910976223565,-6039.483148315626,316.265097454645,-28.49748590041679,31.574473734267755
RBS,0,2,AD,H,1619.0,-1138.0,2.382,165.24452057226682,0.5,1619.0,2757.0,14.571,116.8455210505698,13.85590123988843,679.6809403862301,6.11712846347607,679.6809403576959,2239.7554506706842,-4770.081146001545,349.6742272145091,-73.80875650062958,15.191605444300848
RBS,0,2,AD,H,2194.0,-2051.0,0.09,181.50736554612595,2.0,2194.0,4245.0,19.746,128.34508901297116,17.094537990294775,24377.777777777777,219.4,24377.77775069136,35770.95510072921,-3199.0305156907443,93.09595651577499,-346.30594926744004,-54.30435234503447
RBS,0,2,AD,H,519.0,-535.0,-0.684,72.87478035110944,0.0,535.0,1054.0,4.8149999999999995,51.53025136374965,10.382250927197305,-782.1637426900584,-7.039473684210525,-782.1637428044098,149.67278541172482,-7102.802381983378,11.174465546131442,-179.65872843219495,4.828387417840123
RBS,0,2,AD,H,1553.0,-1042.0,2.432,158.36106158919026,2.0,1553.0,2595.0,13.977,111.97818052561692,13.868773297711554,638.5690789473684,5.747121710526315,638.5690789211114,2179.647873392129,-4977.18849646884,369.89037625142987,-47.237467844007504,16.86943154790638
RBS,0,2,AD,H,1170.0,-1194.0,1.962,146.40371803102067,1.0,1194.0,2364.0,10.746,103.52306181065794,11.533661960112882,608.5626911314985,5.477064220183486,608.5626911004811,2132.9795087198363,-5387.361913923954,5.3981627649485695,-272.5867781067202,14.499949246401442
RBS,0,2,AD,H,798.0,-709.0,-0.122,116.3846979281368,0.0,798.0,1507.0,7.1819999999999995,82.29640913133345,9.696656372047832,-6540.983606557377,-58.86885245901639,-6540.9836119188385,-7988.371815952295,-6409.0587736951675,91.02189983199042,-176.4989445230325,29.399231932097592
RBS,0,2,AD,H,1125.0,-985.0,1.826,154.96217045635714,1.0,1125.0,2110.0,10.125,109.5748015570758,10.26695904545175,616.1007667031763,5.544906900328587,616.1007666694359,2140.772764811908,-5697.059466303799,117.94872520015292,-195.94820499064082,40.82269154903124
RBS,0,3,AD,H,543.0,-286.0,0.212,53.307245105722,0.0,543.0,829.0,4.887,37.693914500629425,14.405508347797966,2561.320754716982,23.05188679245283,2561.320753508811,4875.759854580502,-7393.914488192069,192.85220624771603,-42.5485939811946,-3.8621700528927327
RBS,0,3,AD,H,135.0,-246.0,-0.648,31.86494697455784,0.0,246.0,381.0,2.214,22.53192008785961,10.917844508624318,-379.6296296296296,-3.4166666666666665,-379.6296296882144,710.5515975647232,-7978.3220580504085,-59.907859350910016,-91.25294489429973,-2.1826376442887394
RBS,0,3,AD,H,224.0,-525.0,0.138,54.68997112710673,0.0,525.0,749.0,4.725,38.67164944687366,13.575836756620236,3804.347826086956,34.2391304347826,3804.347823330182,6632.358226919506,-7507.720529724741,-203.6992273258141,-40.79791475425958,7.083378566126374
RBS,0,3,AD,H,161.0,-191.0,-0.046,36.18788485142562,0.0,191.0,352.0,1.719,25.588698775240992,7.464232616033098,-4152.173913043478,-37.369565217391305,-4152.173922069944,-4624.9727119351965,-7982.555611759687,4.040035860326213,-122.51719813033257,2.894490841042309
RBS,0,3,AD,H,307.0,-245.0,-0.782,36.42400158938564,1.0,307.0,552.0,2.763,25.75565852180417,11.919710759486138,-392.5831202046036,-3.533248081841432,-392.583120254806,694.3998158570884,-7762.460932438461,63.710679856864616,-118.29844331523111,-8.81466193870732
RBS,0,3,AD,H,253.0,-256.0,-0.718,31.97128088774684,-1.5,256.0,509.0,2.304,22.607109518945652,11.323871359381965,-356.54596100278553,-3.2089136490250696,-356.5459610524438,744.6590017222591,-7832.664096745719,19.323785866028945,-144.38692182674075,-11.837433586973706
RBS,0,3,AD,H,121.0,-122.0,-0.742,26.69915965442555,-1.0,122.0,243.0,1.098,18.879156843626586,6.462152998171948,-164.42048517520217,-1.479784366576819,-164.42048519736124,1012.9964300748876,-8186.963844910984,20.34762121447257,-126.21926850673727,-1.8754710691515832
RBS,0,3,AD,H,427.0,-287.0,-0.158,48.54876931503011,0.0,427.0,714.0,3.842999999999999,34.329164000919164,12.438403684650376,-2702.53164556962,-24.322784810126574,-2702.5316472800832,-2570.0213781941047,-7499.991873923187,119.64102163333865,-91.86189124701025,-3.95707244251642
RBS,0,3,AD,H,203.0,-138.0,-0.438,32.188606194389266,-0.5,203.0,341.0,1.827,22.760781716995957,8.918850087139829,-463.4703196347032,-4.171232876712328,-463.47031974051833,591.496036815827,-8039.503492261017,65.66131496239697,-101.75207442604481,-0.9817758255940277
