activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,PC1,PC2,PC3
FCS,1,1,AD,H,10.62,9.19,9.433679999999995,0.0853617646357163,9.43,10.62,1.4299999999999995,0.0955799999999999,0.060359882627965,175.94467612631993,1.1257536825501824,0.0101317831429516,1.125753682538249,-446.94252101584897,-0.5593854798618763,0.7788039911789202
FCS,1,1,AD,H,10.49,9.28,9.431099999999995,0.0576718482811877,9.43,10.49,1.2100000000000009,0.09441,0.0407801550031895,257.23296047255195,1.1122774649828764,0.0100104971848458,1.1122774649710827,-365.6536806891936,-0.5484722898225014,0.7504504919896196
FCS,1,1,AD,H,10.42,8.67,9.428019999999991,0.0746768562925051,9.43,10.42,1.75,0.0937799999999999,0.0528045114821236,197.33162389974137,1.1052161535507996,0.0099469453819571,1.105216153539077,-425.5567810813332,-0.24589158530867827,0.14124248159236785
FCS,1,1,AD,H,10.19,9.34,9.432000000000002,0.0481730348075053,9.43,10.19,0.8499999999999996,0.0917099999999999,0.0340634795827226,299.1473603057415,1.0803647158608989,0.009723282442748,1.0803647158494445,-323.73755816463466,-0.9260212363326721,0.5820115577364025
FCS,1,1,AD,H,9.74,8.56,9.422039999999988,0.0635130397038658,9.43,9.74,1.1799999999999995,0.08766,0.0449105010683739,216.87578112680907,1.0337464073597662,0.0093037176662378,1.0337464073487947,-406.0092163246377,-1.1322206066891392,-0.453117035754909
FCS,1,1,AD,H,9.68,9.07,9.426039999999986,0.0361126937974253,9.43,9.68,0.6099999999999994,0.0871199999999999,0.0255355306710728,379.0796488504424,1.0269423851373445,0.009242481466236,1.0269423851264496,-243.80400457747476,-1.1419084720301234,-0.05660277766805599
FCS,1,1,AD,H,9.6,9.07,9.428439999999991,0.0305849190705009,9.43,9.6,0.5299999999999994,0.0863999999999999,0.0216268036767929,443.89361199507465,1.0181960112171269,0.0091637641009541,1.0181960112063275,-178.99004936527302,-1.0193879593114703,-0.13007100459001641
FCS,1,1,AD,H,9.95,8.2,9.42411999999999,0.0711389281208844,9.43,9.95,1.75,0.0895499999999999,0.0503028184806197,197.80203774930513,1.0558014965853586,0.0095022134692682,1.0558014965741556,-425.08560831071327,-0.49304078134474594,-0.6371059739566203
FCS,1,1,AD,H,9.98,8.73,9.427419999999987,0.0447699933505603,9.43,9.98,1.25,0.08982,0.0316571658918578,315.25247819378666,1.0586141277252965,0.0095275271495276,1.058614127714067,-307.6339376041176,-0.5534860707817195,-0.1461672748587759
FCS,1,1,AD,H,10.07,8.79,9.429419999999997,0.0614019870038098,9.43,10.07,1.2800000000000011,0.09063,0.0434177613887221,231.93273162664016,1.0679341889532976,0.0096114077005796,1.067934188941972,-390.953341927902,-0.7942365382141618,-0.004590016241285966
LC,0,1,AW,H,9.9,8.69,9.452899999999971,0.0653508336819497,9.45,9.9,1.2100000000000009,0.0891,0.0462100176527009,214.23926029211023,1.0472976546879826,0.0094256788921918,1.0472976546769035,-408.6461064035845,-1.0261726056045068,-0.21602669019405063
LC,0,1,AW,H,12.59,8.63,9.462199999999982,0.1811540603662373,9.45,12.59,3.959999999999999,0.11331,0.1280952645244435,98.28622507428864,1.3305573756631677,0.0119750163809685,1.3305573756491058,-524.6144739620631,2.8565888441259357,1.6781020671742422
LC,0,1,AW,H,10.6,8.13,9.450999999999976,0.1034504906127372,9.45,10.6,2.469999999999999,0.0953999999999999,0.0731505434293417,144.9066473475873,1.121574436567562,0.010094169929108,1.1215744365556946,-477.984758033731,0.40795324062303706,-0.22565053984549444
