activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,max_squared
K,0,3,AW,H,9.5,9.42,9.45325999999997,0.0136655000561113,9.45,9.5,0.08,0.0854999999999999,0.0096629677579814,983.1348130239952,1.004944326084338,0.009044498934759,1.0049443260737074,90.25
K,0,3,AW,H,9.5,9.4,9.451499999999967,0.0160269687544126,9.45,9.5,0.0999999999999996,0.0854999999999999,0.0113327782881101,838.2763483484888,1.0051314606147208,0.0090461831455324,1.005131460604086,90.25
K,0,3,AW,H,9.57,9.4,9.452839999999972,0.0154015849066023,9.45,9.57,0.1699999999999999,0.08613,0.0108905651284789,878.7422771086854,1.012394158792493,0.0091115474291324,1.012394158781783,91.5849
K,0,3,AW,H,9.51,9.4,9.451139999999976,0.0150383744271391,9.45,9.51,0.1099999999999994,0.0855899999999999,0.0106337365354524,894.3234551932012,1.0062278201359862,0.0090560503812238,1.0062278201253396,90.4401
K,0,3,AW,H,9.49,9.41,9.452679999999962,0.0140432198604204,9.45,9.49,0.08,0.08541,0.0099300559929969,955.6844399158216,1.0039480866801838,0.0090355327801216,1.003948086669563,90.0601
K,0,3,AW,H,9.51,9.41,9.452279999999968,0.0149414890888557,9.45,9.51,0.0999999999999996,0.0855899999999999,0.0105652282557547,900.1225311739045,1.0061064632025325,0.0090549581688227,1.006106463191888,90.4401
K,0,3,AW,H,9.5,9.41,9.452179999999965,0.0140799179037508,9.45,9.5,0.0899999999999998,0.0854999999999999,0.0099560054282921,954.1979530267956,1.005059150375896,0.009045532353383,1.005059150365263,90.25
K,0,3,AW,H,9.49,9.41,9.45249999999996,0.0162257989974677,9.45,9.49,0.08,0.08541,0.0114733725012793,827.1325627178791,1.0039672044432733,0.0090357048399894,1.0039672044326522,90.0601
K,0,3,AW,H,9.49,9.4,9.452759999999968,0.0151803585785434,9.45,9.49,0.0899999999999998,0.08541,0.0107341344917314,884.0954999501993,1.0039395901302934,0.0090354563111726,1.0039395901196728,90.0601
K,0,2,AW,H,9.73,9.17,9.452699999999972,0.0292132989179131,9.45,9.73,0.5600000000000005,0.08757,0.020656921765686,471.0285545140064,1.0293355337628434,0.0092640198038655,1.029335533751954,94.6729
K,0,2,AW,H,9.53,9.41,9.451759999999966,0.0151049236156585,9.45,9.53,0.1199999999999992,0.0857699999999999,0.010680793917937,892.2557698632875,1.0082778233895098,0.0090745004105055,1.008277823378842,90.8209
K,0,2,AW,H,9.94,9.22,9.452419999999982,0.0337672037352251,9.45,9.94,0.7199999999999989,0.0894599999999999,0.0238770187428854,416.29987843276314,1.051582557694222,0.0094642430192479,1.051582557683097,98.8036
K,0,2,AW,H,9.55,9.37,9.452499999999974,0.0176684563190281,9.45,9.55,0.1800000000000015,0.08595,0.0124934852762831,764.3983875443578,1.0103147315525025,0.0090928325839725,1.010314731541814,91.2025
K,0,2,AW,H,9.84,9.19,9.453819999999975,0.0294234443625542,9.45,9.84,0.6500000000000004,0.0885599999999999,0.0208055170346271,472.9514764580479,1.0408490959210164,0.0093676418632891,1.0408490959100063,96.8256
K,0,2,AW,H,9.57,9.3,9.453699999999976,0.019006116513635,9.45,9.57,0.2699999999999996,0.08613,0.0134393538708129,712.0878051126942,1.0123020616266671,0.00911071855464,1.0123020616159593,91.5849
K,0,2,AW,H,9.82,9.19,9.453819999999968,0.0309114644957912,9.45,9.82,0.6300000000000008,0.08838,0.0218577061613811,449.2694671387917,1.0387335489780885,0.0093486019408027,1.038733548967101,96.4324
K,0,2,AW,H,9.67,9.29,9.453559999999976,0.0237245042984764,9.45,9.67,0.3800000000000008,0.08703,0.0167757578697421,576.4270130198684,1.0228950786793571,0.0092060557081142,1.022895078668537,93.5089
K,0,2,AW,H,9.59,9.33,9.453619999999963,0.0221104804717898,9.45,9.59,0.2599999999999998,0.08631,0.0156344706768953,613.388211100242,1.0144262197972878,0.0091298359781755,1.0144262197865572,91.9681
K,0,2,AW,H,9.56,9.37,9.452819999999964,0.0175859640698069,9.45,9.56,0.1900000000000012,0.0860399999999999,0.0124351544474634,768.7881996471749,1.0113384154146632,0.0091020457387319,1.0113384154039644,91.3936
K,0,2,AW,H,9.54,9.33,9.45341999999997,0.0201423690279999,9.45,9.54,0.209999999999999,0.0858599999999999,0.0142428057288606,669.8118461778076,1.0091585902244933,0.0090824273120204,1.0091585902138185,91.0116
K,0,2,AW,H,9.51,9.38,9.454099999999972,0.0158332366484412,9.45,9.51,0.129999999999999,0.0855899999999999,0.0111957890022441,849.4265118870815,1.00591277858284,0.0090532150072455,1.0059127785722,90.4401
K,0,2,AW,H,9.61,9.34,9.45321999999997,0.0229539837662548,9.45,9.61,0.2699999999999996,0.0864899999999999,0.0162309175763647,592.0798965792272,1.0165848250649017,0.0091492634255841,1.0165848250541478,92.3521
K,0,2,AW,H,9.61,9.27,9.450999999999963,0.023265480118198,9.45,9.61,0.3399999999999998,0.0864899999999999,0.0164511787591386,584.1526701946281,1.0168236165485172,0.0091514125489366,1.0168236165377582,92.3521
K,0,2,AW,H,9.97,9.26,9.452279999999972,0.0399549044396,9.45,9.97,0.7100000000000009,0.08973,0.0282523838709016,352.8905753779075,1.0547719703605936,0.0094929477332453,1.0547719703494345,99.4009
K,0,2,AW,H,9.56,9.39,9.453299999999969,0.0167412825399422,9.45,9.56,0.1699999999999999,0.0860399999999999,0.0118378744097531,807.5774137393788,1.011287063776674,0.00910158357399,1.0112870637659763,91.3936
K,0,2,AW,H,9.65,9.3,9.454039999999978,0.0249182712177424,9.45,9.65,0.3499999999999996,0.08685,0.0176198785535112,547.6768736341243,1.0207276465934163,0.0091865488193407,1.0207276465826198,93.1225
K,0,2,AW,H,9.56,9.33,9.454179999999967,0.0196545211185827,9.45,9.56,0.2300000000000004,0.0860399999999999,0.013897845163924,687.8764216495807,1.0111929326499003,0.0091007363938491,1.0111929326392044,91.3936
K,0,2,AW,H,9.54,9.38,9.453459999999977,0.0198144802418463,9.45,9.54,0.1599999999999983,0.0858599999999999,0.0140109533446964,680.8958509315997,1.0091543202171505,0.0090823888819543,1.0091543202064754,91.0116
K,0,2,AW,H,9.54,9.39,9.453599999999968,0.0160859415338385,9.45,9.54,0.1499999999999985,0.0858599999999999,0.0113744783403475,838.7197825292534,1.0091393754760123,0.0090822543792841,1.0091393754653375,91.0116
LAF,1,1,AW,H,10.3,8.18,9.465419999999982,0.1135279736523259,9.46,10.3,2.120000000000001,0.0927,0.0802764000239273,128.30670031204633,1.088171470468296,0.0097935432342146,1.0881714704568,106.09000000000002
LAF,1,1,AW,H,11.47,7.75,9.457719999999975,0.1662349835007029,9.46,11.47,3.7200000000000006,0.10323,0.1175458841037808,97.57891641593488,1.2127658674606594,0.0109148928071459,1.2127658674478363,131.5609
LAF,1,1,AW,H,11.55,8.71,9.460079999999978,0.1439146150773636,9.46,11.55,2.84,0.10395,0.1017630002330555,113.49901215125756,1.2209199076540609,0.0109882791688865,1.2209199076411548,133.4025
LAF,1,1,AW,H,10.2,8.25,9.457879999999989,0.1297257226854123,9.46,10.2,1.9499999999999993,0.0917999999999999,0.0917299382051806,111.19597592211107,1.0784657872588794,0.0097061920853299,1.0784657872474768,104.04
LAF,1,1,AW,H,10.12,8.64,9.46043999999998,0.085454146900223,9.46,10.12,1.4799999999999986,0.0910799999999999,0.060425206753659,167.4797744798313,1.0697176875494183,0.0096274591879447,1.0697176875381114,102.4144
LAF,1,1,AW,H,10.05,8.84,9.459259999999976,0.0713627190860235,9.46,10.05,1.2100000000000009,0.09045,0.0504610625896379,199.16346355464472,1.062450973966254,0.0095620587656962,1.062450973955022,101.0025
LAF,1,1,AW,H,11.53,7.72,9.462759999999983,0.148564211875203,9.46,11.53,3.81,0.1037699999999999,0.105050761658591,109.75646266584756,1.2184605759841758,0.0109661451838575,1.2184605759712994,132.9409
