activity,fall_binary,distance_m,person_binary,floor,max,min,mean,std,median,peak,p2p,energy,rms,crest,shape,impulse,margin,max_squared
FOL,0,1,0,H,10.01,8.08,9.440539999999988,0.0719378795700434,9.44,10.01,1.9299999999999995,0.0900899999999999,0.0508677624681589,196.7847515657061,1.0603207019937433,0.0095428863179436,1.0603207019825116,100.2001
FOL,0,1,0,H,12.01,8.86,9.44529999999998,0.121596387128588,9.44,12.01,3.1500000000000004,0.1080899999999999,0.0859816299064092,139.68099945387,1.2715318729950371,0.0114437868569553,1.2715318729815752,144.24009999999998
FOL,0,1,0,H,11.37,9.02,9.44311999999998,0.0921305686695069,9.44,11.37,2.3499999999999996,0.1023299999999999,0.0651461498607812,174.53065183894893,1.2040512034158226,0.0108364608307424,1.204051203403072,129.27689999999998
FOL,0,1,0,H,9.58,9.26,9.438339999999984,0.0223616745566596,9.44,9.58,0.3200000000000003,0.0862199999999999,0.0158120917177007,605.8654459533489,1.0150089952258572,0.0091350809570327,1.015008995215103,91.7764
FOL,0,1,0,H,9.88,9.34,9.441519999999963,0.0281936049258947,9.44,9.88,0.5400000000000009,0.08892,0.0199358892291946,495.58862844861017,1.0464416746456118,0.0094179750718105,1.0464416746345284,97.61440000000002
FOL,0,1,0,H,9.77,8.86,9.439059999999978,0.0442632451334002,9.44,9.77,0.91,0.08793,0.0312988407911497,312.15213576736085,1.0350606946030667,0.0093155462514276,1.0350606945921008,95.4529
FOL,0,1,0,H,9.51,8.38,9.434959999999966,0.0522614668933401,9.44,9.51,1.129999999999999,0.0855899999999999,0.036954437635037,257.3439242648204,1.0079533988485414,0.0090715805896368,1.0079533988378582,90.4401
FOL,0,1,0,H,11.69,8.89,9.442559999999968,0.1096187892558379,9.44,11.69,2.799999999999999,0.1052099999999999,0.077512189228262,150.81498944088207,1.2380117256337306,0.0111421055307035,1.2380117256206196,136.65609999999998
FOL,0,1,0,H,10.0,8.92,9.438899999999974,0.051523775082942,9.44,10.0,1.08,0.09,0.0364328107534787,274.4778619378181,1.059445486232509,0.0095350093760925,1.0594454862212843,100.0
FOL,0,1,0,H,10.81,8.92,9.43921999999998,0.0730661955891762,9.44,10.81,1.8900000000000008,0.09729,0.0516656023766091,209.2301164167608,1.1452217450170694,0.0103069957051536,1.145221745004937,116.8561
FOL,0,1,0,H,9.48,7.1,9.430739999999975,0.1265277477152097,9.44,9.48,2.380000000000001,0.08532,0.0894686284176855,105.9589284832052,1.0052233440854086,0.0090470100967686,1.0052233440747496,89.8704
FOL,0,1,0,H,10.09,9.18,9.440279999999971,0.0356716488694612,9.44,10.09,0.91,0.0908099999999999,0.0252236648117014,400.0211735813728,1.0688242297897974,0.0096194180681081,1.0688242297784756,101.8081
FOL,0,1,0,H,9.96,9.15,9.440339999999978,0.0344275312768668,9.44,9.96,0.8100000000000005,0.08964,0.0243439408253844,409.1367158440624,1.0550467461977031,0.0094954207157793,1.0550467461865272,99.2016
FOL,0,1,0,H,9.85,8.79,9.440259999999984,0.0405885113610861,9.44,9.85,1.0600000000000005,0.0886499999999999,0.0287004116216912,343.20065265389934,1.0434034655825175,0.0093906311902426,1.043403465571465,97.0225
FOL,0,1,0,H,9.81,8.38,9.437279999999982,0.0544990080989327,9.44,9.81,1.4299999999999995,0.08829,0.0385366181946958,254.5630742800942,1.039494430598649,0.0093554498753878,1.0394944305876344,96.2361
FOL,0,1,0,H,12.03,7.25,9.440339999999978,0.1574956957773028,9.44,12.03,4.779999999999999,0.1082699999999999,0.1113662744918243,108.02193083044318,1.2743185097146954,0.0114688665874322,1.2743185097011969,144.72089999999997
FR,0,1,AD,H,9.54,9.32,9.460479999999976,0.0187315600707837,9.46,9.54,0.2199999999999988,0.0858599999999999,0.0132452131482543,720.2602097239426,1.0084054931673685,0.0090756494385063,1.008405493156709,91.0116
FR,0,1,AD,H,9.61,9.27,9.458539999999973,0.0240254624449019,9.46,9.61,0.3399999999999998,0.0864899999999999,0.0169885674159328,565.6745365702329,1.0160130421819886,0.0091441173796378,1.016013042171247,92.3521
FR,0,1,AD,H,9.55,9.37,9.459819999999963,0.0182876043522902,9.46,9.55,0.1800000000000015,0.08595,0.012931289049161,738.5187945063838,1.009532950944102,0.0090857965584969,1.0095329509334303,91.2025
FR,0,1,AD,H,9.97,8.78,9.460719999999972,0.0488041523907666,9.46,9.97,1.1900000000000013,0.08973,0.0345097471055727,288.90388473435115,1.0538309980635756,0.0094844789825721,1.0538309980524363,99.4009
FR,0,1,AD,H,9.62,9.34,9.45839999999997,0.0205982663628354,9.46,9.62,0.2799999999999993,0.0865799999999999,0.0145651738258477,660.4795874751669,1.01708534212975,0.0091537680791677,1.017085342118997,92.54439999999998
FR,0,1,AD,H,9.58,9.3,9.458639999999969,0.0238681750362093,9.46,9.58,0.2799999999999993,0.0862199999999999,0.0168773484226511,567.6247097644006,1.0128305972105962,0.0091154753748953,1.012830597199888,91.7764
FR,0,1,AD,H,10.14,9.08,9.460899999999969,0.0396804621716572,9.46,10.14,1.0600000000000005,0.09126,0.0280583238821951,361.39008312020025,1.0717796404147633,0.0096460167637328,1.0717796404034348,102.8196
FR,0,1,AD,H,9.66,9.14,9.458539999999967,0.0270394279030207,9.46,9.66,0.5199999999999996,0.0869399999999999,0.0191197628296307,505.23639263084857,1.0212992702890755,0.0091916934326016,1.0212992702782775,93.3156
FR,0,1,AD,H,9.76,9.34,9.461039999999969,0.0294253309276278,9.46,9.76,0.4199999999999999,0.0878399999999999,0.0208068510375838,469.0762663879458,1.0315990631051166,0.009284391567946,1.031599063094213,95.2576
FR,0,1,AD,H,9.87,9.29,9.459479999999978,0.0372572920597197,9.46,9.87,0.5800000000000001,0.0888299999999999,0.0263448838640755,374.6457965396063,1.0433977343363507,0.0093905796090271,1.0433977343253205,97.41689999999998
STC,0,1,AD,H,9.52,9.31,9.449259999999962,0.018163486021381,9.45,9.52,0.209999999999999,0.0856799999999999,0.0128435241357056,741.2295799354577,1.0074863005145418,0.0090673767046308,1.0074863005038797,90.6304
STC,0,1,AD,H,9.63,9.2,9.449659999999964,0.0237658163768073,9.45,9.63,0.4300000000000015,0.08667,0.0168049699204747,573.0447626845822,1.019084284513944,0.0091717585606254,1.0190842845031598,92.73690000000002
STC,0,1,AD,H,9.57,9.28,9.451179999999969,0.0196157374143473,9.45,9.57,0.2900000000000009,0.08613,0.0138704209436597,689.9574309152115,1.0125719751396158,0.0091131477762565,1.012571975128902,91.5849
STC,0,1,AD,H,9.5,9.37,9.451179999999969,0.0159661339988662,9.45,9.5,0.1300000000000007,0.0854999999999999,0.0112897616199313,841.4703799616402,1.0051654925628368,0.0090464894330655,1.0051654925522016,90.25
STC,0,1,AD,H,9.5,9.41,9.449459999999974,0.0148711365202131,9.45,9.5,0.0899999999999998,0.0854999999999999,0.0105154814773936,903.4298639033594,1.0053484537740809,0.0090481360839667,1.0053484537634416,90.25
STC,0,1,AD,H,9.55,9.33,9.451779999999967,0.017676439489503,9.45,9.55,0.2200000000000006,0.08595,0.0124991302302612,764.0531640256667,1.0103916934164818,0.0090935252407483,1.0103916934057915,91.2025
STC,0,1,AD,H,9.55,9.34,9.450639999999977,0.0167377029906381,9.45,9.55,0.2100000000000008,0.08595,0.0118353432861665,806.9051965026022,1.0105135736839015,0.0090946221631551,1.010513573673209,91.2025
STC,0,1,AD,H,9.55,9.26,9.450839999999976,0.0189846050909923,9.45,9.55,0.2900000000000009,0.08595,0.0134241429979893,711.4048175313974,1.0104921890540974,0.0090944297014868,1.010492189043405,91.2025
STC,0,1,AD,H,9.52,9.32,9.450659999999983,0.019165046256036,9.45,9.52,0.1999999999999993,0.0856799999999999,0.0135517341693969,702.4931186665701,1.00733705370842,0.0090660334833757,1.007337053697761,90.6304
STC,0,1,AD,H,9.51,9.33,9.450159999999972,0.017290816773345,9.45,9.51,0.1799999999999997,0.0855899999999999,0.0122264537926863,777.8216121577867,1.0063321679209694,0.0090569895112887,1.0063321679103203,90.4401
MA,0,1,0,H,9.55,9.4,9.439759999999984,0.0166883012555981,9.44,9.55,0.1500000000000003,0.08595,0.0118004109843174,809.2938468576907,1.0116782630066885,0.0091051043670601,1.0116782629959713,91.2025
MA,0,1,0,H,9.5,9.39,9.43791999999997,0.0146322180002627,9.44,9.5,0.1099999999999994,0.0854999999999999,0.0103465405717856,918.181292973022,1.0065777205146929,0.0090591994846322,1.0065777205040276,90.25
MA,0,1,0,H,9.5,9.39,9.43967999999998,0.0151907576584078,9.44,9.5,0.1099999999999994,0.0854999999999999,0.0107414877516216,884.4212477518107,1.0063900471202436,0.0090575104240821,1.0063900471095824,90.25
MA,0,1,0,H,9.48,9.4,9.438539999999977,0.013521614849428,9.44,9.48,0.08,0.08532,0.0095612255526232,991.5046923455352,1.0043926285209392,0.0090395336566884,1.0043926285102978,89.8704
MA,0,1,0,H,9.49,9.4,9.43983999999998,0.0148193666279808,9.44,9.49,0.0899999999999998,0.08541,0.0104788746355348,905.6315997729846,1.00531364938389,0.009047822844455,1.0053136493732402,90.0601
MA,0,1,0,H,9.48,9.4,9.43801999999998,0.0147890849638555,9.44,9.48,0.08,0.08532,0.0104574622654862,906.5296875407084,1.0044479668405049,0.0090400317015645,1.0044479668298625,89.8704
MA,0,1,0,H,9.48,9.4,9.438259999999984,0.0143242020905551,9.44,9.48,0.08,0.08532,0.010128740433318,935.9505322908632,1.0044224253199228,0.0090398018278793,1.0044224253092808,89.8704
MA,0,1,0,H,9.48,9.39,9.439299999999983,0.0146608280720947,9.44,9.48,0.0899999999999998,0.08532,0.0103667709475882,914.4602545892468,1.004311760405964,0.0090388058436536,1.0043117603953242,89.8704
MA,0,1,0,H,9.48,9.4,9.437919999999984,0.0133727806579279,9.44,9.48,0.08,0.08532,0.0094559838865411,1002.5397794398806,1.004458609524134,0.0090401274857172,1.0044586095134913,89.8704
MA,0,1,0,H,9.48,9.4,9.438939999999985,0.0141660776332414,9.44,9.48,0.08,0.08532,0.0100169295572801,946.3977904396976,1.0043500647318468,0.0090391505825866,1.0043500647212062,89.8704
MA,0,1,0,H,9.48,9.4,9.43797999999997,0.0133595117091237,9.44,9.48,0.08,0.08532,0.0094466013228624,1003.5355230940798,1.0044522238868945,0.009040070014982,1.0044522238762517,89.8704
MA,0,1,0,H,9.48,9.39,9.438259999999971,0.0149940669629082,9.44,9.48,0.0899999999999998,0.08532,0.0106024064270376,894.1366344742892,1.004422425319924,0.0090398018278793,1.0044224253092822,89.8704
MA,0,1,0,H,9.48,9.4,9.437979999999978,0.0143013515904836,9.44,9.48,0.08,0.08532,0.010112582689764,937.445980995109,1.0044522238868934,0.009040070014982,1.0044522238762508,89.8704
MA,0,1,0,H,9.48,9.39,9.438339999999975,0.0143895280337497,9.44,9.48,0.0899999999999998,0.08532,0.0101749328507383,931.7014803996544,1.0044139117683857,0.0090397252059154,1.0044139117577435,89.8704
MA,0,1,0,H,9.48,9.4,9.437499999999972,0.0147779150608972,9.44,9.48,0.08,0.08532,0.0104495639513592,907.2148889779138,1.004503311258281,0.0090405298013245,1.0045033112476374,89.8704
S,0,0,0,H,9.48,9.4,9.440879999999977,0.0141996076606163,9.44,9.48,0.08,0.08532,0.0100406388670102,944.1630284251808,1.0041436815212166,0.0090372931336909,1.0041436815105804,89.8704
S,0,0,0,H,9.48,9.39,9.440259999999968,0.015290519938838,9.44,9.48,0.0899999999999998,0.08532,0.0108120303366204,876.8010914556089,1.004209629819521,0.0090378866683756,1.0042096298088836,89.8704
S,0,0,0,H,9.48,9.39,9.440399999999972,0.0138065651950429,9.44,9.48,0.0899999999999998,0.08532,0.009762715874309,971.0412678245584,1.0041947375111255,0.0090377526376001,1.0041947375004885,89.8704
S,0,0,0,H,9.53,9.38,9.440339999999972,0.0154584062777926,9.44,9.53,0.1499999999999985,0.0857699999999999,0.0109307439053639,871.8528292775626,1.0094975392835457,0.0090854778535519,1.0094975392728522,90.8209
S,0,0,0,H,9.48,9.4,9.439279999999975,0.0143908231725349,9.44,9.48,0.08,0.08532,0.0101758486521559,931.6176295518576,1.0043138883474187,0.0090388249951267,1.004313888336779,89.8704
S,0,0,0,H,9.48,9.4,9.440659999999983,0.0143169252529095,9.44,9.48,0.08,0.08532,0.0101235949320732,936.4262461712858,1.0041670815387926,0.0090375037338491,1.0041670815281558,89.8704
S,0,0,0,H,9.48,9.4,9.440219999999972,0.0134652971915556,9.44,9.48,0.08,0.08532,0.0095214029548411,995.6515909433156,1.004213884845907,0.0090379249636131,1.0042138848352695,89.8704
S,0,0,0,H,9.49,9.4,9.440679999999976,0.014600134514987,9.44,9.49,0.0899999999999998,0.08541,0.010323854121783,919.230346346752,1.0052241999517009,0.0090470177995653,1.005224199941053,90.0601
S,0,0,0,H,9.48,9.39,9.44015999999997,0.0147380058907327,9.44,9.48,0.0899999999999998,0.08532,0.0104213439065044,909.6715438095376,1.0042202674530971,0.0090379824070778,1.0042202674424594,89.8704
S,0,0,0,H,9.49,9.4,9.441059999999974,0.0142928293189236,9.44,9.49,0.0899999999999998,0.08541,0.0101065565337527,938.9944011401224,1.0051837399614054,0.0090466536596526,1.0051837399507586,90.0601
S,0,0,0,H,9.47,9.39,9.440179999999984,0.0137894124527329,9.44,9.47,0.08,0.08523,0.0097505870539056,971.2235732726198,1.0031588380730043,0.009028429542657,1.0031588380623782,89.68090000000001
S,0,0,0,H,9.49,9.41,9.43965999999999,0.0140598634246226,9.44,9.49,0.08,0.08541,0.0099418247701073,954.5531348062084,1.0053328191905229,0.0090479953727147,1.0053328191798727,90.0601
S,0,0,0,H,9.48,9.4,9.439739999999984,0.014468970322881,9.44,9.48,0.08,0.08532,0.010231107032096,926.5859471766084,1.0042649479752637,0.0090383845317773,1.004264947964625,89.8704
